Year	CCAA	Value
2025	castilla_la_mancha	2126378
2025	castilla_leon	2401221
2025	catalunya	8124126
2025	ceuta	83567
2025	comunidad_valenciana	5425182
2025	extremadura	1053345
2025	galicia	2714741
2025	madrid	7113886
2025	melilla	87067
2025	murcia	1586989
2025	navarra	683854
2025	pais_vasco	2242343
2025	rioja	326803
2025	total_nacional	49128297
